iter	Passed	Remaining
0	164	164127
1	179	89734
2	195	64953
3	213	53138
4	228	45388
5	242	40233
6	257	36486
7	270	33587
8	284	31380
9	300	29730
10	314	28302
11	329	27107
12	343	26116
13	358	25261
14	373	24556
15	389	23972
16	405	23445
17	422	23024
18	438	22647
19	456	22384
20	472	22022
21	488	21722
22	504	21438
23	522	21228
24	542	21140
25	558	20928
26	574	20691
27	591	20518
28	607	20354
29	623	20159
30	641	20038
31	657	19880
32	673	19722
33	688	19550
34	702	19379
35	719	19255
36	735	19137
37	752	19057
38	772	19026
39	791	19006
40	812	19004
41	834	19026
42	855	19043
43	875	19020
44	894	18985
45	914	18961
46	933	18933
47	953	18901
48	972	18882
49	990	18825
50	1013	18861
51	1034	18868
52	1061	18963
53	1083	18987
54	1104	18982
55	1125	18979
56	1147	18979
57	1174	19078
58	1215	19383
59	1253	19643
60	1292	19900
61	1324	20041
62	1350	20088
63	1390	20340
64	1438	20698
65	1474	20861
66	1510	21028
67	1553	21287
68	1606	21670
69	1658	22033
70	1692	22147
71	1726	22253
72	1761	22374
73	1798	22510
74	1836	22655
75	1870	22742
76	1901	22796
77	1939	22930
78	1965	22919
79	1989	22875
80	2012	22828
81	2033	22763
82	2055	22712
83	2081	22693
84	2103	22644
85	2127	22611
86	2152	22584
87	2176	22551
88	2199	22515
89	2222	22470
90	2246	22443
91	2270	22407
92	2294	22374
93	2318	22348
94	2344	22330
95	2369	22309
96	2394	22289
97	2418	22261
98	2449	22288
99	2480	22322
100	2512	22364
101	2544	22398
102	2574	22421
103	2600	22404
104	2628	22405
105	2658	22425
106	2688	22439
107	2713	22411
108	2739	22394
109	2762	22353
110	2788	22331
111	2810	22282
112	2833	22242
113	2856	22200
114	2877	22145
115	2902	22115
116	2924	22074
117	2951	22061
118	2974	22020
119	2998	21988
120	3024	21970
121	3053	21975
122	3077	21946
123	3102	21919
124	3128	21900
125	3154	21881
126	3180	21860
127	3202	21820
128	3224	21774
129	3249	21746
130	3272	21708
131	3297	21683
132	3317	21629
133	3338	21578
134	3358	21519
135	3379	21469
136	3398	21408
137	3417	21349
138	3440	21312
139	3460	21260
140	3482	21218
141	3503	21166
142	3525	21125
143	3547	21085
144	3568	21041
145	3589	20997
146	3618	20999
147	3649	21008
148	3675	20992
149	3701	20976
150	3728	20963
151	3754	20947
152	3779	20922
153	3804	20897
154	3829	20878
155	3856	20862
156	3880	20836
157	3907	20824
158	3933	20804
159	3961	20796
160	3987	20779
161	4011	20752
162	4039	20740
163	4065	20724
164	4089	20695
165	4113	20666
166	4136	20634
167	4159	20600
168	4184	20577
169	4210	20557
170	4235	20534
171	4261	20515
172	4287	20496
173	4311	20467
174	4337	20448
175	4363	20429
176	4389	20409
177	4415	20391
178	4440	20366
179	4471	20371
180	4499	20358
181	4522	20325
182	4546	20296
183	4569	20262
184	4592	20231
185	4616	20205
186	4638	20167
187	4663	20140
188	4686	20108
189	4709	20078
190	4732	20046
191	4754	20009
192	4776	19972
193	4797	19932
194	4822	19906
195	4849	19893
196	4877	19881
197	4902	19857
198	4926	19830
199	4949	19799
200	4973	19770
201	4996	19739
202	5018	19704
203	5045	19685
204	5069	19657
205	5094	19635
206	5119	19612
207	5143	19586
208	5167	19557
209	5194	19540
210	5218	19513
211	5243	19488
212	5269	19471
213	5295	19451
214	5321	19428
215	5344	19397
216	5372	19384
217	5399	19367
218	5423	19342
219	5449	19319
220	5474	19296
221	5500	19275
222	5525	19251
223	5550	19230
224	5573	19196
225	5595	19164
226	5619	19135
227	5641	19101
228	5665	19073
229	5688	19044
230	5710	19010
231	5732	18976
232	5756	18950
233	5786	18941
234	5812	18922
235	5839	18903
236	5873	18909
237	5907	18914
238	5946	18932
239	5979	18934
240	6008	18921
241	6038	18915
242	6069	18906
243	6110	18932
244	6153	18963
245	6194	18986
246	6224	18974
247	6252	18959
248	6288	18966
249	6336	19010
250	6376	19028
251	6470	19206
252	6561	19374
253	6624	19456
254	6686	19535
255	6722	19538
256	6756	19534
257	6799	19554
258	6835	19557
259	6871	19556
260	6900	19539
261	6931	19524
262	6963	19514
263	6994	19498
264	7022	19477
265	7048	19449
266	7074	19423
267	7100	19395
268	7127	19368
269	7155	19345
270	7198	19364
271	7230	19351
272	7262	19339
273	7297	19335
274	7330	19324
275	7357	19301
276	7394	19300
277	7428	19292
278	7459	19277
279	7496	19276
280	7523	19250
281	7554	19234
282	7581	19208
283	7607	19178
284	7632	19147
285	7657	19116
286	7682	19085
287	7706	19052
288	7731	19020
289	7759	18996
290	7787	18974
291	7812	18943
292	7839	18916
293	7867	18891
294	7892	18861
295	7918	18832
296	7943	18801
297	7967	18768
298	7990	18733
299	8020	18713
300	8047	18688
301	8076	18666
302	8108	18653
303	8137	18631
304	8168	18614
305	8199	18596
306	8231	18580
307	8264	18567
308	8312	18587
309	8346	18578
310	8375	18556
311	8408	18542
312	8439	18524
313	8467	18499
314	8501	18487
315	8528	18460
316	8561	18445
317	8591	18424
318	8620	18403
319	8648	18378
320	8675	18350
321	8710	18341
322	8741	18321
323	8768	18295
324	8797	18272
325	8828	18251
326	8858	18231
327	8883	18200
328	8912	18178
329	8942	18155
330	8968	18125
331	8992	18093
332	9021	18069
333	9044	18034
334	9069	18004
335	9099	17981
336	9123	17948
337	9147	17917
338	9172	17884
339	9196	17852
340	9220	17818
341	9245	17788
342	9270	17756
343	9295	17727
344	9325	17705
345	9364	17699
346	9399	17688
347	9428	17665
348	9456	17639
349	9485	17616
350	9517	17597
351	9550	17581
352	9582	17563
353	9613	17542
354	9646	17526
355	9673	17499
356	9705	17481
357	9736	17459
358	9772	17448
359	9845	17503
360	9884	17495
361	9925	17493
362	9962	17481
363	10007	17484
364	10051	17487
365	10093	17483
366	10142	17493
367	10178	17480
368	10230	17494
369	10270	17486
370	10310	17481
371	10358	17486
372	10395	17475
373	10442	17479
374	10481	17469
375	10515	17451
376	10551	17436
377	10585	17418
378	10630	17417
379	10669	17407
380	10703	17390
381	10737	17370
382	10778	17363
383	10816	17351
384	10850	17332
385	10881	17308
386	10922	17301
387	10965	17296
388	11015	17302
389	11063	17305
390	11112	17308
391	11157	17305
392	11210	17315
393	11270	17335
394	11312	17327
395	11347	17307
396	11380	17285
397	11414	17265
398	11451	17249
399	11500	17250
400	11553	17258
401	11596	17250
402	11640	17243
403	11677	17227
404	11716	17212
405	11764	17212
406	11808	17204
407	11873	17228
408	11920	17225
409	11959	17209
410	11996	17192
411	12040	17183
412	12084	17175
413	12128	17167
414	12175	17162
415	12264	17216
416	12306	17205
417	12341	17183
418	12373	17157
419	12407	17134
420	12440	17108
421	12470	17080
422	12501	17053
423	12538	17033
424	12583	17024
425	12642	17034
426	12694	17034
427	12748	17037
428	12826	17072
429	12877	17069
430	12929	17068
431	12965	17047
432	12998	17021
433	13038	17004
434	13072	16979
435	13103	16950
436	13139	16928
437	13170	16898
438	13200	16868
439	13230	16839
440	13260	16808
441	13291	16779
442	13329	16760
443	13365	16736
444	13400	16713
445	13435	16689
446	13469	16663
447	13504	16638
448	13540	16616
449	13574	16591
450	13604	16560
451	13639	16536
452	13672	16509
453	13698	16474
454	13731	16447
455	13768	16425
456	13795	16391
457	13824	16359
458	13863	16339
459	13894	16311
460	13922	16278
461	13948	16243
462	13983	16218
463	14011	16186
464	14043	16157
465	14074	16128
466	14103	16096
467	14130	16062
468	14159	16031
469	14189	16000
470	14217	15968
471	14245	15935
472	14272	15901
473	14300	15869
474	14327	15835
475	14359	15807
476	14391	15779
477	14419	15746
478	14448	15715
479	14475	15681
480	14505	15651
481	14534	15619
482	14561	15587
483	14592	15556
484	14617	15521
485	14645	15489
486	14670	15454
487	14698	15421
488	14723	15386
489	14750	15352
490	14778	15319
491	14806	15287
492	14833	15254
493	14863	15224
494	14887	15188
495	14917	15158
496	14943	15123
497	14968	15089
498	15000	15061
499	15036	15036
500	15071	15011
501	15111	14991
502	15152	14971
503	15200	14958
504	15259	14957
505	15316	14953
506	15362	14938
507	15406	14921
508	15444	14898
509	15505	14897
510	15537	14868
511	15561	14832
512	15584	14795
513	15608	14757
514	15633	14723
515	15664	14693
516	15697	14665
517	15724	14631
518	15762	14608
519	15806	14590
520	15843	14566
521	15884	14545
522	15919	14519
523	15949	14488
524	15971	14450
525	15996	14415
526	16018	14376
527	16041	14339
528	16063	14302
529	16085	14264
530	16145	14259
531	16213	14262
532	16245	14233
533	16289	14215
534	16315	14180
535	16342	14146
536	16365	14110
537	16390	14074
538	16423	14047
539	16452	14014
540	16473	13976
541	16497	13940
542	16527	13909
543	16554	13876
544	16587	13848
545	16614	13814
546	16642	13782
547	16675	13754
548	16704	13722
549	16729	13687
550	16751	13650
551	16774	13614
552	16795	13575
553	16818	13539
554	16837	13500
555	16857	13462
556	16878	13423
557	16899	13386
558	16920	13349
559	16943	13312
560	16964	13275
561	16987	13239
562	17006	13200
563	17027	13163
564	17050	13127
565	17074	13092
566	17093	13053
567	17111	13014
568	17131	12976
569	17151	12938
570	17170	12900
571	17189	12862
572	17208	12824
573	17227	12785
574	17247	12748
575	17267	12710
576	17286	12672
577	17305	12634
578	17325	12597
579	17344	12560
580	17363	12522
581	17382	12484
582	17401	12446
583	17419	12408
584	17438	12371
585	17466	12339
586	17499	12312
587	17534	12285
588	17566	12257
589	17597	12228
590	17623	12196
591	17648	12163
592	17673	12129
593	17698	12096
594	17722	12063
595	17745	12028
596	17768	11994
597	17791	11960
598	17813	11924
599	17833	11888
600	17852	11852
601	17875	11818
602	17897	11783
603	17917	11747
604	17939	11712
605	17961	11678
606	17983	11643
607	18009	11611
608	18034	11578
609	18056	11544
610	18076	11508
611	18098	11473
612	18120	11440
613	18139	11403
614	18159	11368
615	18178	11331
616	18196	11295
617	18214	11259
618	18235	11224
619	18257	11189
620	18276	11154
621	18297	11119
622	18320	11086
623	18338	11050
624	18358	11015
625	18378	10980
626	18399	10945
627	18421	10912
628	18446	10880
629	18472	10849
630	18496	10816
631	18520	10783
632	18542	10750
633	18568	10719
634	18590	10685
635	18611	10652
636	18633	10618
637	18655	10585
638	18676	10551
639	18702	10519
640	18723	10486
641	18746	10453
642	18769	10420
643	18790	10387
644	18813	10354
645	18834	10321
646	18855	10287
647	18877	10254
648	18897	10220
649	18916	10185
650	18934	10150
651	18952	10115
652	18971	10081
653	18988	10046
654	19005	10010
655	19024	9976
656	19042	9941
657	19060	9906
658	19079	9872
659	19096	9837
660	19116	9803
661	19134	9769
662	19152	9735
663	19169	9700
664	19187	9665
665	19204	9631
666	19223	9597
667	19244	9564
668	19263	9530
669	19283	9497
670	19304	9465
671	19322	9431
672	19341	9397
673	19360	9364
674	19382	9332
675	19406	9301
676	19428	9269
677	19451	9237
678	19473	9206
679	19495	9174
680	19517	9142
681	19540	9111
682	19563	9079
683	19586	9048
684	19612	9019
685	19638	8988
686	19663	8958
687	19689	8928
688	19718	8900
689	19740	8868
690	19765	8838
691	19790	8808
692	19811	8776
693	19836	8746
694	19858	8714
695	19881	8683
696	19902	8652
697	19925	8621
698	19950	8591
699	19974	8560
700	19994	8528
701	20013	8495
702	20032	8463
703	20052	8431
704	20069	8398
705	20087	8365
706	20105	8332
707	20125	8300
708	20145	8268
709	20166	8236
710	20189	8206
711	20208	8174
712	20227	8142
713	20248	8110
714	20274	8081
715	20296	8050
716	20316	8018
717	20336	7987
718	20357	7956
719	20378	7924
720	20399	7893
721	20422	7863
722	20449	7834
723	20480	7807
724	20510	7779
725	20541	7752
726	20569	7724
727	20600	7696
728	20640	7672
729	20676	7647
730	20710	7621
731	20739	7593
732	20764	7563
733	20795	7536
734	20826	7508
735	20853	7480
736	20879	7450
737	20903	7421
738	20937	7394
739	20990	7375
740	21029	7350
741	21057	7321
742	21084	7292
743	21118	7266
744	21156	7241
745	21193	7216
746	21239	7193
747	21277	7168
748	21310	7141
749	21344	7114
750	21374	7086
751	21402	7058
752	21433	7030
753	21464	7003
754	21499	6976
755	21524	6947
756	21551	6918
757	21584	6891
758	21612	6862
759	21636	6832
760	21664	6803
761	21691	6775
762	21720	6746
763	21751	6719
764	21773	6688
765	21796	6658
766	21819	6628
767	21846	6599
768	21869	6569
769	21896	6540
770	21921	6511
771	21947	6481
772	21971	6452
773	21997	6423
774	22030	6395
775	22062	6368
776	22101	6343
777	22145	6319
778	22179	6292
779	22213	6265
780	22254	6240
781	22282	6211
782	22311	6183
783	22332	6152
784	22361	6124
785	22394	6097
786	22420	6067
787	22445	6038
788	22469	6008
789	22489	5978
790	22511	5947
791	22531	5917
792	22550	5886
793	22572	5856
794	22596	5826
795	22617	5796
796	22641	5766
797	22668	5738
798	22693	5708
799	22720	5680
800	22751	5652
801	22783	5624
802	22814	5597
803	22845	5569
804	22876	5541
805	22912	5514
806	22942	5486
807	22970	5458
808	23001	5430
809	23029	5401
810	23053	5372
811	23079	5343
812	23100	5313
813	23120	5283
814	23142	5253
815	23162	5222
816	23179	5192
817	23201	5162
818	23223	5132
819	23246	5102
820	23265	5072
821	23284	5042
822	23303	5011
823	23323	4981
824	23345	4951
825	23365	4921
826	23383	4891
827	23402	4861
828	23421	4831
829	23451	4803
830	23483	4775
831	23517	4748
832	23551	4721
833	23583	4694
834	23613	4666
835	23643	4638
836	23675	4610
837	23703	4582
838	23731	4554
839	23759	4525
840	23782	4496
841	23803	4466
842	23821	4436
843	23840	4406
844	23858	4376
845	23876	4346
846	23892	4315
847	23909	4285
848	23926	4255
849	23944	4225
850	23961	4195
851	23977	4165
852	23992	4134
853	24007	4104
854	24021	4073
855	24038	4043
856	24053	4013
857	24069	3983
858	24084	3953
859	24100	3923
860	24116	3893
861	24132	3863
862	24150	3833
863	24167	3804
864	24185	3774
865	24203	3745
866	24220	3715
867	24238	3686
868	24262	3657
869	24286	3628
870	24311	3600
871	24335	3572
872	24366	3544
873	24392	3516
874	24415	3487
875	24436	3459
876	24461	3430
877	24485	3402
878	24505	3373
879	24527	3344
880	24549	3316
881	24572	3287
882	24594	3258
883	24620	3230
884	24640	3201
885	24661	3173
886	24681	3144
887	24701	3115
888	24719	3086
889	24738	3057
890	24760	3029
891	24782	3000
892	24801	2971
893	24818	2942
894	24835	2913
895	24854	2884
896	24869	2855
897	24885	2826
898	24900	2797
899	24916	2768
900	24932	2739
901	24947	2710
902	24962	2681
903	24980	2652
904	24996	2623
905	25012	2595
906	25028	2566
907	25044	2537
908	25060	2508
909	25078	2480
910	25095	2451
911	25111	2423
912	25127	2394
913	25145	2365
914	25161	2337
915	25177	2308
916	25193	2280
917	25208	2251
918	25224	2223
919	25239	2194
920	25257	2166
921	25276	2138
922	25296	2110
923	25317	2082
924	25337	2054
925	25357	2026
926	25378	1998
927	25399	1970
928	25422	1942
929	25441	1914
930	25460	1886
931	25478	1858
932	25497	1830
933	25515	1802
934	25531	1774
935	25549	1746
936	25565	1718
937	25582	1690
938	25598	1662
939	25616	1635
940	25634	1607
941	25652	1579
942	25670	1551
943	25689	1523
944	25708	1496
945	25729	1468
946	25748	1441
947	25768	1413
948	25791	1386
949	25810	1358
950	25833	1331
951	25852	1303
952	25874	1276
953	25894	1248
954	25913	1221
955	25937	1193
956	25958	1166
957	25977	1138
958	25995	1111
959	26012	1083
960	26029	1056
961	26045	1028
962	26061	1001
963	26078	973
964	26093	946
965	26108	918
966	26125	891
967	26142	864
968	26157	836
969	26172	809
970	26187	782
971	26203	754
972	26218	727
973	26235	700
974	26251	673
975	26265	645
976	26279	618
977	26292	591
978	26306	564
979	26321	537
980	26335	510
981	26350	482
982	26364	455
983	26381	428
984	26397	401
985	26413	375
986	26429	348
987	26447	321
988	26468	294
989	26487	267
990	26517	240
991	26556	214
992	26584	187
993	26609	160
994	26629	133
995	26655	107
996	26677	80
997	26696	53
998	26716	26
999	26735	0
